,,,,,,,,Wafer #8 Bin #14,,,,,Wafer #10 Bin #14,,,,
OVT Comp MidScale Trip Point,1.6,1.9,V,1.76827019,1.760364342,1.771897721,,1.769611268,1.760364342,1.767363766,1.76658102,1.764921588,1.768847769,1.76988392,1.771391291,1.771839219,1.771897721
OVT Thresh Offset,10,40,mV,20.97785512,19.5904238,22.51332394,,20.92786479,19.76833215,19.5904238,19.99483517,20.31384161,22.51332394,21.81593929,20.62902197,21.97758463,22.2473839
HREGDAC_Chop_1_6,0.68,0.88,V,0.785898792,0.782928605,0.791112073,,0.783347677,0.784013023,0.78616899,0.78412884,0.782928605,0.786545693,0.786191415,0.791112073,0.787872252,0.786679357
HREGDAC_Chop_2_6,1.53,1.73,V,1.642753955,1.634091383,1.651499056,,1.647701177,1.634091383,1.648647922,1.642603746,1.634470325,1.63948704,1.638373353,1.651499056,1.646920417,1.643745132
HREGDAC_Chop_3_6,2.38,2.58,V,2.497033783,2.489121165,2.502454278,,2.498079329,2.489121165,2.494887169,2.494613961,2.499400145,2.502454278,2.501907377,2.490647248,2.501554343,2.497672817
HREGDAC_Chop_4_6,3.25,3.45,V,3.355811627,3.345242254,3.362601045,,3.354423991,3.345242254,3.353862943,3.351720111,3.354869326,3.362175217,3.360615821,3.354738228,3.362601045,3.357867333
HREGDAC_Chop_5_6,4.1,4.3,V,4.213785396,4.19691819,4.221881621,,4.219521401,4.19691819,4.21793764,4.211181071,4.207025083,4.217039047,4.214284225,4.216240125,4.221881621,4.215825556
HTRDAC_1_6,0.32,0.52,V,0.418006474,0.415514805,0.419527628,,0.418693218,0.416497282,0.41749019,0.417612169,0.417494748,0.41952331,0.415514805,0.418310973,0.419527628,0.419400411
HTRDAC_2_6,0.73,0.93,V,0.834826471,0.831729679,0.837322955,,0.835873081,0.831994939,0.835492231,0.835123584,0.833614285,0.835844259,0.831729679,0.835337793,0.837322955,0.835931908
HTRDAC_3_6,1.15,1.35,V,1.251645153,1.247467465,1.255064733,,1.253063015,1.247467465,1.253505604,1.252665156,1.249791463,1.252182721,1.247921224,1.252348714,1.255064733,1.252441431
HTRDAC_4_6,1.56,1.76,V,1.668497361,1.663000826,1.672860921,,1.670245197,1.663000826,1.671521258,1.670236969,1.665983713,1.668521169,1.664172016,1.669415042,1.672860921,1.669016502
HTRDAC_5_6,1.98,2.18,V,2.085357876,2.078496619,2.090668643,,2.087518894,2.078496619,2.089526255,2.087841872,2.082193141,2.08489236,2.080456851,2.086424872,2.090668643,2.085559255
H2SDAC_1_6,0.57,0.77,V,0.666379065,0.661905598,0.669026885,,0.6677545,0.665838223,0.666962211,0.665345804,0.66641846,0.666366911,0.661905598,0.669026885,0.668333914,0.665838138
H2SDAC_2_6,1.23,1.43,V,1.333063965,1.328525759,1.336886273,,1.33348994,1.329718261,1.333533093,1.332717873,1.332815995,1.333017199,1.328525759,1.336886273,1.336282807,1.333652451
H2SDAC_3_6,1.9,2.1,V,1.999781455,1.993572289,2.004858162,,1.999190083,1.993572289,2.000209082,2.000138085,1.999306513,1.999682019,1.995122467,2.004858162,2.004235174,2.001500676
H2SDAC_4_6,2.56,2.76,V,2.666557533,2.657465041,2.67289857,,2.664941758,2.657465041,2.666888081,2.667615828,2.665852129,2.66641951,2.661752293,2.67289857,2.672341117,2.669401004
H2SDAC_5_6,3.25,3.45,V,3.333442827,3.321463322,3.340987504,,3.330811382,3.321463322,3.333890167,3.335143434,3.332488379,3.3331923,3.328543184,3.340987504,3.340575742,3.337332855
H2S2DAC_1_6,0.57,0.77,V,0.666379526,0.661918988,0.669005982,,0.667775293,0.665843782,0.666973785,0.665331874,0.666417868,0.666377042,0.661918988,0.669005982,0.668321077,0.66582957
H2S2DAC_2_6,1.23,1.43,V,1.333065903,1.328565766,1.3368609,,1.333502827,1.329707638,1.333528607,1.332717506,1.332821131,1.333049288,1.328565766,1.3368609,1.33628975,1.333615615
H2S2DAC_3_6,1.9,2.1,V,1.999786126,1.993585291,2.004873381,,1.999187738,1.993585291,2.000190222,2.000134288,1.999305047,1.999716298,1.995146905,2.004873381,2.004249292,2.001472794
H2S2DAC_4_6,2.56,2.76,V,2.666559986,2.657462305,2.672902199,,2.66497203,2.657462305,2.666948072,2.667625204,2.665868991,2.666410477,2.661781659,2.672902199,2.67227131,2.669357612
H2S2DAC_5_6,3.25,3.45,V,3.33346348,3.3214741,3.340995479,,3.330862052,3.3214741,3.333916163,3.335171264,3.33245833,3.333226271,3.32860294,3.340995479,3.340583392,3.337344808
H2TDAC_1_6,0.57,0.77,V,0.667050757,0.66514455,0.670052323,,0.667633519,0.66514455,0.666339296,0.665861554,0.667842633,0.666538696,0.665618515,0.670052323,0.668986471,0.666490015
H2TDAC_2_6,1.23,1.43,V,1.33460184,1.330367597,1.33806246,,1.335544941,1.330367597,1.335292792,1.332690394,1.334028877,1.334613176,1.33255722,1.33806246,1.337755617,1.33510533
H2TDAC_3_6,1.9,2.1,V,2.002201915,1.995704425,2.006625496,,2.00351702,1.995704425,2.00424878,1.999594905,2.000260996,2.002651509,1.999573296,2.006130646,2.006625496,2.003712071
H2TDAC_4_6,2.56,2.76,V,2.669896773,2.661214961,2.675576971,,2.671535788,2.661214961,2.673297306,2.666573917,2.666648,2.670702634,2.666727676,2.674309604,2.675576971,2.672380872
H2TDAC_5_6,3.25,3.45,V,3.337599033,3.326759461,3.344564123,,3.339643993,3.326759461,3.342347068,3.333620871,3.333006272,3.338742032,3.333837901,3.342425925,3.344564123,3.34104268
PCBDAC_1_6,0.57,0.77,V,0.660487318,0.65819656,0.662554624,,0.660485922,0.65904393,0.662554624,0.662245652,0.658686271,0.66099945,0.65819656,0.662174221,0.660185827,0.660300726
PCBDAC_2_6,1.23,1.43,V,1.330476733,1.327373819,1.334004608,,1.330496909,1.327373819,1.334004608,1.330887663,1.329824865,1.331156809,1.327938439,1.333242041,1.330830702,1.329011473
PCBDAC_3_6,1.9,2.1,V,1.999973692,1.995253081,2.004780074,,2.000124835,1.995253081,2.004780074,1.999197007,2.000229736,2.000612586,1.997147546,2.003829701,2.001002025,1.99756033
PCBDAC_4_6,2.56,2.76,V,2.668804981,2.662107669,2.674753621,,2.669213525,2.662107669,2.674753621,2.666919705,2.669942016,2.669528916,2.66568746,2.673985764,2.670427808,2.665483322
PCBDAC_5_6,3.25,3.45,V,3.33730077,3.32876922,3.344206014,,3.338230307,3.32876922,3.344206014,3.334682982,3.339028513,3.338057465,3.333603788,3.343791401,3.339597366,3.333040641
VADC1MUX_0,0.9,1.1,V,0.99937627,0.991688637,1.007920771,,1.007920771,0.996273145,0.999896836,0.99753858,1.000651188,0.991688637,0.99561361,1.00559319,0.99956697,0.999019775
VADC1MUX_1,1.8,2.2,V,1.999131522,1.991601503,2.007874148,,2.007874148,1.996181413,1.999836924,1.996870493,2.000078013,1.991601503,1.995340844,2.005859819,1.998671574,1.999000494
VADC1MUX_2,0.9,1.1,V,0.993129496,0.986844891,1.000257933,,1.000257933,0.988288785,0.994932495,0.992245812,0.995747707,0.987297068,0.986844891,0.996717053,0.994509993,0.994453222
VADC1MUX_3,1.8,2.2,V,1.999122813,1.991597272,2.00783575,,2.00783575,1.996119794,1.999841127,1.996849176,2.000106253,1.991597272,1.995407308,2.005819504,1.9986364,1.999015544
VADC1MUX_4,0.9,1.1,V,0.999365757,0.991691376,1.007910226,,1.007910226,0.996231107,0.999847544,0.997476868,1.000720222,0.991691376,0.995636051,1.005567916,0.99955188,0.999024382
VADC1MUX_5,1.8,2.2,V,1.999109776,1.991593654,2.007860129,,2.007860129,1.996107654,1.999808757,1.996816418,2.000123312,1.991593654,1.995342118,2.005811282,1.998632699,1.999001734
VADC1MUX_6,1.8,2.2,V,2.000154734,1.98766244,2.012194675,,2.012194675,2.006930762,2.003179806,1.996358698,2.00343835,1.98766244,1.992630571,2.004860522,1.995435016,1.998856496
VADC1MUX_7,0.9,1.1,V,1.000561066,0.99065341,1.009071534,,1.009071534,1.007642068,1.000693419,0.999009098,1.00560501,0.99065341,0.997209128,1.001183558,0.996465185,0.99807825
VADC1MUX_8,1.8,2.2,V,2.000306841,1.987815984,2.012333286,,2.012333286,2.007108123,2.003349626,1.996491714,2.003595004,1.987815984,1.992759436,2.005008731,1.995588753,1.999017755
VADC1MUX_9,0.9,1.1,V,1.000700972,0.990811674,1.009157461,,1.009157461,1.007787023,1.000906607,0.999177299,1.005726804,0.990811674,0.997378316,1.00131628,0.996575151,0.998173108
VADC1MUX_10,1.8,2.2,V,2.000440294,1.987928654,2.012491466,,2.012491466,2.007197317,2.003504981,1.996707045,2.003716236,1.987928654,1.992920457,2.005130676,1.995653665,1.999152441
VADC1MUX_11,0.9,1.1,V,1.000811,0.990912091,1.009261605,,1.009261605,1.007889885,1.001025474,0.999259568,1.005832586,0.990912091,0.997508442,1.001421689,0.99670211,0.998296551
VADC1MUX_13,-0.1,0.1,V,-0.000716346,-0.007147723,0.007577771,,0.007577771,-0.004391564,-0.001509503,-0.001419671,0.001120554,-0.007147723,-0.004813606,0.005097435,-0.000447546,-0.001229603
VADC1MUX_14,-0.1,0.1,V,-0.000380063,-0.008215514,0.00817394,,0.00817394,-0.003587146,-1.70451E-05,-0.001858048,0.001258999,-0.008215514,-0.004349953,0.005510726,0.000324109,-0.001040699
VADC1MUX_15,-1.4,-1.1,V,-1.2401785,-1.248215906,-1.232198365,,-1.232198365,-1.238533592,-1.241090176,-1.240454919,-1.235861795,-1.248215906,-1.244604725,-1.237923024,-1.241719081,-1.241183421
VADC1MUX_SELX,0.25,0.75,V,0.500824493,0.491235388,0.509009078,,0.509009078,0.507704575,0.500683364,0.499755954,0.506061211,0.491235388,0.497612483,0.500942352,0.497119371,0.498121156
VADC1MUX_EXT,0.9,1.1,V,0.999907073,0.999892876,0.999918351,,0.999911358,0.999918351,0.999912136,0.999914355,0.999915365,0.999903214,0.999897987,0.999892876,0.999900838,0.999904254
VADC2MUX_0,0.9,1.1,V,1.001215987,0.99030993,1.009815169,,0.997325568,1.002285675,1.003408616,1.000277763,0.995788816,1.009815169,1.002506247,1.0028076,1.007634482,0.99030993
VADC2MUX_1,1.8,2.2,V,2.001090994,1.990109341,2.010474754,,1.996886725,2.001723819,2.00378676,1.999932038,1.99558727,2.010474754,2.002934686,2.00232517,2.007149378,1.990109341
VADC2MUX_2,0.9,1.1,V,1.001220499,0.990321707,1.00981001,,0.997295184,1.002277241,1.003412176,1.000276002,0.995796076,1.00981001,1.002504706,1.002857792,1.007654097,0.990321707
VADC2MUX_3,1.8,2.2,V,2.001084206,1.990101784,2.010464504,,1.996830232,2.001730893,2.003790751,1.999933773,1.995565276,2.010464504,2.002943062,2.002321587,2.007160197,1.990101784
VADC2MUX_4,0.9,1.1,V,1.001217863,0.990320152,1.009826361,,0.997278648,1.002282793,1.003392754,1.000266257,0.99582799,1.009826361,1.002522403,1.002795511,1.007665765,0.990320152
VADC2MUX_5,1.8,2.2,V,2.001075176,1.990067044,2.010514695,,1.996849769,2.001702898,2.003784675,1.999948257,1.995519405,2.010514695,2.002952089,2.002301504,2.007111422,1.990067044
VADC2MUX_6,1.8,2.2,V,2.002203815,1.984834607,2.016077426,,1.996221369,2.007811647,2.000203518,2.003606526,1.999334347,2.016077426,2.007007186,1.99923086,2.007710665,1.984834607
VADC2MUX_7,0.9,1.1,V,1.002907312,0.989443611,1.013327833,,0.998545745,1.013327833,1.004298577,1.00319562,1.001655022,1.010089947,1.004647606,0.998132654,1.005736501,0.989443611
VADC2MUX_8,1.8,2.2,V,2.002261413,1.984897847,2.016132931,,1.996326569,2.007913755,2.000219348,2.003649248,1.999387112,2.016132931,2.007068506,1.999263427,2.007755381,1.984897847
VADC2MUX_9,0.9,1.1,V,1.002944243,0.989503883,1.013351867,,0.998580439,1.013351867,1.004294268,1.003288361,1.001638564,1.010164512,1.004684576,0.998221046,1.005714918,0.989503883
VADC2MUX_10,1.8,2.2,V,2.002302067,1.984864789,2.01615829,,1.996347244,2.007936569,2.000331257,2.003693034,1.99950609,2.01615829,2.007089247,1.999354151,2.007739997,1.984864789
VADC2MUX_11,0.9,1.1,V,1.002978615,0.98952089,1.013421158,,0.998611741,1.013421158,1.004349704,1.003300511,1.001696317,1.010189534,1.004705053,0.998247262,1.005743982,0.98952089
VADC2MUX_13,-0.1,0.1,V,0.0016146,-0.009336486,0.008621648,,-0.002144269,0.005137781,0.002655695,-0.000332433,-0.004140633,0.008621648,0.003764128,0.004076405,0.007844161,-0.009336486
VADC2MUX_14,-0.1,0.1,V,0.001439453,-0.00949564,0.009133816,,-0.002190451,0.003061793,0.002953,0.000702207,-0.003735216,0.009133816,0.002293347,0.003357057,0.008314619,-0.00949564
VADC2MUX_15,-1.4,-1.1,V,-1.238093113,-1.249448122,-1.229696745,,-1.241699578,-1.229696745,-1.238274897,-1.238856893,-1.241078142,-1.232375318,-1.237181658,-1.239076688,-1.233243091,-1.249448122
VADC2MUX_SELX,0.25,0.75,V,0.502961336,0.489636348,0.514003782,,0.498649866,0.514003782,0.504088582,0.503278906,0.501578191,0.509647845,0.50460394,0.498465338,0.505660558,0.489636348
VADC3MUX_0,0.56,0.76,V,0.655297757,0.648579812,0.660881419,,0.654239331,0.65587952,0.651728936,0.656889284,0.650558577,0.657555823,0.656605763,0.648579812,0.660881419,0.660059108
VADC3MUX_1,1.8,2.2,V,2.000020983,1.992174806,2.006674929,,1.999301225,2.00083119,1.999072834,2.001288034,1.995394793,2.003396918,1.999423021,1.992174806,2.006674929,2.002652076
VADC3MUX_2,0.9,1.1,V,0.999937148,0.992011496,1.006006597,,0.999208792,1.000857868,0.998967498,1.00118094,0.994989225,1.003101663,1.000255394,0.992011496,1.006006597,1.002792013
VADC3MUX_3,-1,-0.8,V,-0.893346765,-0.905519351,-0.880753775,,-0.898853839,-0.880753775,-0.892817618,-0.883937693,-0.898066564,-0.897827199,-0.893238706,-0.905519351,-0.894029371,-0.888423537
VADC3MUX_4,1.69,2.06,V,1.866825471,1.859702549,1.875510496,,1.867550676,1.863684261,1.869851338,1.869592411,1.86030845,1.869496251,1.862983203,1.859702549,1.875510496,1.869575073
VADC3MUX_5,0.9,1.1,V,0.993920373,0.979925307,1.004543365,,0.991965469,1.004543365,0.992641402,0.996251175,0.992862203,0.995605046,0.995025237,0.979925307,0.996048604,0.994335925
VADC3MUX_6,1.8,2.2,V,1.999998996,1.981938274,2.011319074,,1.991790554,2.010459893,1.997998071,2.005187464,2.004404365,2.001469014,1.996763155,1.981938274,2.011319074,1.998660092
VADC3MUX_7,0.9,1.1,V,0.989028411,0.97522328,0.999490733,,0.987174118,0.999490733,0.987656277,0.991183976,0.988002175,0.990894409,0.989790549,0.97522328,0.991264585,0.989604011
VADC3MUX_8,-0.1,0.1,V,-6.1796E-05,-0.007983542,0.005423616,,-0.000964672,0.000995332,-0.00110749,0.00120679,-0.005226413,0.002864919,0.001056097,-0.007983542,0.005423616,0.003117404
VADC3MUX_9,-0.1,0.1,V,-5.19954E-05,-0.007979943,0.005466783,,-0.000959613,0.00098736,-0.001080171,0.001194347,-0.005204439,0.002851306,0.001090416,-0.007979943,0.005466783,0.003114001
VADC3MUX_10,-0.1,0.1,V,-0.00292513,-0.018363098,0.007829675,,-0.0035048,0.007829675,-0.004111953,-0.001287061,-0.00342284,-0.001194797,-0.000701003,-0.018363098,-0.00209731,-0.002398117
VADC3MUX_13,-0.1,0.1,V,-0.000139681,-0.008115279,0.005831853,,0.000114886,0.001023721,-0.003547674,0.001463749,-0.005596343,0.002278471,0.001033054,-0.008115279,0.005831853,0.004116752
VADC3MUX_14,-0.1,0.1,V,-4.42764E-05,-0.007992682,0.005498768,,-0.000950961,0.00098629,-0.001097184,0.001217387,-0.00518266,0.002874154,0.001077971,-0.007992682,0.005498768,0.003126154
VADC3MUX_15,-1.4,-1.1,V,-1.23969435,-1.251303749,-1.233616845,,-1.240655454,-1.233616845,-1.243141272,-1.237271396,-1.243035527,-1.238042199,-1.237562247,-1.251303749,-1.23690349,-1.235411325
VADC3MUX_SELX,0.25,0.75,V,0.501812322,0.487796719,0.512689619,,0.500203158,0.512689619,0.500419978,0.503998805,0.500521475,0.503378241,0.503241379,0.487796719,0.50339548,0.502478362
VADC3MUX_EXT,-1.1,-0.9,V,-0.999915222,-0.999926431,-0.999902485,,-0.999919117,-0.999926431,-0.999922344,-0.999920948,-0.999920692,-0.999911222,-0.999907812,-0.999902485,-0.999911909,-0.999909254
G_ADC1PGA_BYP,-1.4,-1.1,V,-1.239975266,-1.243511288,-1.234833726,,-1.24038793,-1.234833726,-1.240568751,-1.239448794,-1.237852055,-1.240533369,-1.23997638,-1.243511288,-1.242400376,-1.240239994
G_ADC1PGA1,0.98,1.02,V/V,0.99929708,0.998536714,1.000399794,,1.000399794,0.999065165,0.9999736,0.998536714,0.998577628,0.999039365,0.999033528,0.999876744,0.998863432,0.999604828
G_ADC1PGA_NBYP,-1.4,-1.1,V,-1.241034013,-1.249658633,-1.236386715,,-1.237984578,-1.241828652,-1.240253605,-1.237720631,-1.236481009,-1.242008954,-1.249658633,-1.236386715,-1.244788584,-1.243228769
G_ADC1PGA2,1.96,2.04,V/V,2.002529153,2.001263341,2.00422329,,2.002311391,2.003039273,2.003471463,2.002128906,2.001676292,2.00217093,2.003227186,2.001779458,2.001263341,2.00422329
G_ADC2PGA_BYP,-1.4,-1.1,V,-1.240387945,-1.243884887,-1.23527613,,-1.24073208,-1.23527613,-1.241021276,-1.239861017,-1.238243401,-1.240961876,-1.240452143,-1.243884887,-1.242792029,-1.240654606
G_ADC2PGA1,0.98,1.02,V/V,0.99954253,0.99821626,1.001246052,,0.99887534,0.998566125,0.9995449,0.999699739,0.998886536,1.001246052,1.001168161,0.999461946,0.999760238,0.99821626
G_ADC2PGA_NBYP,-1.4,-1.1,V,-1.241355004,-1.24546398,-1.234311303,,-1.245022187,-1.234311303,-1.245101247,-1.24546398,-1.241220071,-1.239336303,-1.237633649,-1.241891889,-1.24037036,-1.243199046
G_ADC2PGA2,1.96,2.04,V/V,2.002693174,2.00096707,2.004786899,,2.003185542,2.002193004,2.003573977,2.001801373,2.002201112,2.004786899,2.002404378,2.00096707,2.002857818,2.002960565
G_ADC3PGA_BYP,-1.4,-1.1,V,-1.240578057,-1.244062025,-1.235486293,,-1.240896427,-1.235486293,-1.241217226,-1.240061343,-1.238433481,-1.241148559,-1.240673648,-1.244062025,-1.242982405,-1.240819166
G_ADC3PGA1,0.98,1.02,V/V,0.999926936,0.998456113,1.002429545,,0.998915112,1.000072956,1.000343016,1.000332998,1.000247755,0.999804203,0.998456113,0.999318528,1.002429545,0.999349138
G_ADC3PGA_NBYP,-1.4,-1.1,V,-1.242821855,-1.251333093,-1.237959699,,-1.244423383,-1.237959699,-1.24498354,-1.239256903,-1.242598222,-1.242131084,-1.244276294,-1.251333093,-1.240742697,-1.240513634
G_ADC3PGA2,1.96,2.04,V/V,2.002406943,2.000405168,2.00387998,,2.002593894,2.001444486,2.003595307,2.002042699,2.003875957,2.001851289,2.000405168,2.001685456,2.00387998,2.002695192
H2 Dac MidscaleV,1.9,2.1,V,1.998570019,1.992411008,2.00367007,,1.997989823,1.992411008,1.998983866,1.998821573,1.998314408,1.998456414,1.99377021,2.00367007,2.003000613,2.000282208
H2RES_FAULT_CHECK,1,,P/F,1,1,1,,1,1,1,1,1,1,1,1,1,1
T1 Dac MidscaleV,1.9,2.1,V,2.001140331,1.994642534,2.005597297,,2.002473161,1.994642534,2.003142619,1.998537561,1.999267878,2.001560264,1.998557847,2.004968413,2.005597297,2.00265574
T1RES_FAULT_CHECK,1,,P/F,1,1,1,,1,1,1,1,1,1,1,1,1,1
OVTDAC_CAL_0,1.65,1.85,V,1.746557097,1.739841494,1.750054289,,1.74792234,1.739841494,1.747021902,1.745784541,1.743814127,1.745578913,1.747409777,1.750054289,1.74910787,1.749035721
EDAC_CAL_0,2.4,2.6,V,2.484991156,2.474050887,2.490166587,,2.484409013,2.480943105,2.486744167,2.486305836,2.474050887,2.488989446,2.483349881,2.490166587,2.486855017,2.488097618
HTRDAC_CAL_0,1.15,1.35,V,1.245989394,1.243095045,1.249019837,,1.247172695,1.24318354,1.249019837,1.247193379,1.244953668,1.24530693,1.243095045,1.246306921,1.2475624,1.246099522
HTRDAC_CAL_1,0.73,0.93,V,0.830982678,0.828394824,0.832979677,,0.830938613,0.828394824,0.831571167,0.830663215,0.830250477,0.831063273,0.829455019,0.832391284,0.832979677,0.832119226
T2DAC_CAL_0,1.9,2.1,V,1.998873646,1.99380127,2.005454435,,1.995293494,1.995080496,2.001074944,1.99380127,1.997154473,2.003039536,1.999754427,2.005454435,2.003052596,1.995030786
T1DAC_CAL_0,0.56,0.76,V,0.664177685,0.662202389,0.667117619,,0.664791118,0.662202389,0.663452619,0.663016683,0.66510458,0.663724309,0.66271966,0.667117619,0.665974322,0.663673556
T1DAC_CAL_1,2.4,2.5,V,2.493616545,2.483879169,2.499575276,,2.49378527,2.483879169,2.494696531,2.492796871,2.490004943,2.494934879,2.493011559,2.499575276,2.497810118,2.495670833
H2DAC_CAL_0,0.56,0.76,V,0.663827656,0.659447115,0.666226585,,0.665177404,0.663291371,0.664461062,0.662750103,0.664023617,0.663862507,0.659447115,0.666226585,0.665777989,0.663258811
H2DAC_CAL_1,2.4,2.5,V,2.492685365,2.482832235,2.498778977,,2.492819127,2.482832235,2.493803169,2.491885946,2.48911251,2.493990144,2.492021842,2.498778977,2.496867935,2.494741766
VREF2V5_INT,2.3,2.5,V,2.398207178,2.391403618,2.402499516,,2.398665109,2.391403618,2.398111749,2.400194603,2.395787649,2.399121178,2.398447593,2.402499516,2.400084313,2.397756455
VREF2V5_INT_TRIM,1,1.02,V/V,1.012246115,1.012177144,1.0122997,,1.012177144,1.012249878,1.012296601,1.012185048,1.012278675,1.0122997,1.012244856,1.012240907,1.012284473,1.012203868
VCALMIN_P75VREF,0.7,0.8,V/V,0.753046515,0.752736879,0.753312555,,0.753213976,0.753230618,0.752744297,0.753029525,0.75309763,0.753189496,0.752954563,0.752736879,0.752955612,0.753312555
VCALMIN_P50VREF,0.4,0.6,V/V,0.50440246,0.504224388,0.504727671,,0.50429988,0.504473248,0.50435478,0.50441278,0.504490667,0.504462562,0.504269266,0.504224388,0.504309356,0.504727671
VCALMIN_VBG,1.14,1.2,V,1.17635741,1.174094649,1.177370091,,1.174094649,1.175067323,1.176996135,1.176888541,1.175890086,1.17692706,1.176806986,1.177370091,1.177332673,1.176200554
VCALMIN_VBG_TRIM,1.02,1.3,V/V,1.057603498,1.055980187,1.059028987,,1.057597598,1.055980187,1.058154888,1.056043335,1.05687191,1.057820271,1.057225965,1.058430032,1.059028987,1.058881803
